INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country,Name,Age
536425,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 09:02",2.75,12868,"United Kingdom",NULL,NULL
536437,20679,"EDWARDIAN PARASOL RED",6,"12-01-2010 09:02",4.95,17572,"United Kingdom",NULL,NULL
536446,37370,"RETRO COFFEE MUGS ASSORTED",6,"12-01-2010 09:02",1.06,14078,"United Kingdom",NULL,NULL
536460,21871,"SAVE THE PLANET MUG",6,"12-01-2010 09:02",1.06,14001,"United Kingdom",NULL,NULL
536463,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12-01-2010 09:02",1.06,12662,"United Kingdom",NULL,NULL
536464,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12-01-2010 09:02",1.06,15525,"United Kingdom",NULL,NULL
536466,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",2,"12-01-2010 09:02",4.95,14237,"United Kingdom",NULL,NULL
536477,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12-01-2010 09:02",6.95,17905,"United Kingdom",NULL,NULL
536488,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12-01-2010 09:02",2.1,15485,"United Kingdom",NULL,NULL
536500,82494,"WOODEN FRAME ANTIQUE WHITE ",6,"12-01-2010 09:02",2.55,12433,"United Kingdom",NULL,NULL
536502,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 09:02",3.39,16955,"United Kingdom",NULL,NULL
536506,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 09:02",3.39,15350,"United Kingdom",NULL,NULL
536508,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 09:02",7.65,15605,"United Kingdom",NULL,NULL
536514,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 09:02",4.25,18144,"United Kingdom",NULL,NULL
536520,21258,"VICTORIAN SEWING BOX LARGE",32,"12-01-2010 09:09",10.95,15922,"United Kingdom",NULL,NULL
536521,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12-01-2010 09:32",2.55,14594,"United Kingdom",NULL,NULL
536522,71053,"WHITE METAL LANTERN",6,"12-01-2010 09:32",3.39,15165,"United Kingdom",NULL,NULL
536523,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 09:32",2.75,14911,"United Kingdom",NULL,NULL
536524,20679,"EDWARDIAN PARASOL RED",6,"12-01-2010 09:32",4.95,16456,"United Kingdom",NULL,NULL
536525,37370,"RETRO COFFEE MUGS ASSORTED",6,"12-01-2010 09:32",1.06,17841,"United Kingdom",NULL,NULL
536526,21871,"SAVE THE PLANET MUG",6,"12-01-2010 09:32",1.06,12472,"United Kingdom",NULL,NULL
536527,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12-01-2010 09:32",1.06,17346,"United Kingdom",NULL,NULL
536528,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12-01-2010 09:32",1.06,17643,"United Kingdom",NULL,NULL
536529,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",2,"12-01-2010 09:32",4.95,17873,"United Kingdom",NULL,NULL
536530,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12-01-2010 09:32",6.95,13093,"United Kingdom",NULL,NULL
536531,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12-01-2010 09:32",2.1,12921,"United Kingdom",NULL,NULL
536532,82494,"WOODEN FRAME ANTIQUE WHITE ",6,"12-01-2010 09:32",2.55,13468,"United Kingdom",NULL,NULL
536533,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 09:32",3.39,17760,"United Kingdom",NULL,NULL
536534,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 09:32",3.39,16928,"United Kingdom",NULL,NULL
536535,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 09:32",7.65,16048,"United Kingdom",NULL,NULL
536536,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 09:32",4.25,16274,"United Kingdom",NULL,NULL
536537,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",48,"12-01-2010 09:32",3.45,14496,"United Kingdom",NULL,NULL
536538,21733,"RED HANGING HEART T-LIGHT HOLDER",64,"12-01-2010 09:32",2.55,14696,"United Kingdom",NULL,NULL
536539,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 09:34",1.85,16539,"United Kingdom",NULL,NULL
536540,22633,"HAND WARMER UNION JACK",6,"12-01-2010 09:34",1.85,17025,"United Kingdom",NULL,NULL
536541,22386,"JUMBO BAG PINK POLKADOT",10,"12-01-2010 09:37",1.95,13777,"United Kingdom",NULL,NULL
536542,85099,"JUMBO  BAG BAROQUE BLACK WHITE",10,"12-01-2010 09:37",1.95,17690,"United Kingdom",NULL,NULL
536543,21033,"JUMBO BAG CHARLIE AND LOLA TOYS",10,"12-01-2010 09:37",2.95,12947,"United Kingdom",NULL,NULL
536544,20723,"STRAWBERRY CHARLOTTE BAG",10,"12-01-2010 09:37",0.85,17460,"United Kingdom",NULL,NULL
536545,84997,"RED 3 PIECE RETROSPOT CUTLERY SET",12,"12-01-2010 09:37",3.75,18229,"United Kingdom",NULL,NULL
536546,84997,"BLUE 3 PIECE POLKADOT CUTLERY SET",6,"12-01-2010 09:37",3.75,14142,"United Kingdom",NULL,NULL
536547,21094,"SET/6 RED SPOTTY PAPER PLATES",12,"12-01-2010 09:37",0.85,17069,"United Kingdom",NULL,NULL
536548,20725,"LUNCH BAG RED RETROSPOT",10,"12-01-2010 09:37",1.65,13065,"United Kingdom",NULL,NULL
536549,21559,"STRAWBERRY LUNCH BOX WITH CUTLERY",6,"12-01-2010 09:37",2.55,14606,"United Kingdom",NULL,NULL
536550,22352,"LUNCH BOX WITH CUTLERY RETROSPOT ",6,"12-01-2010 09:37",2.55,16835,"United Kingdom",NULL,NULL
536551,21212,"PACK OF 72 RETROSPOT CAKE CASES",120,"12-01-2010 09:37",0.42,15235,"United Kingdom",NULL,NULL
536552,21975,"PACK OF 60 DINOSAUR CAKE CASES",24,"12-01-2010 09:37",0.55,13576,"United Kingdom",NULL,NULL
536553,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",24,"12-01-2010 09:37",0.55,18011,"United Kingdom",NULL,NULL
536554,84991,"60 TEATIME FAIRY CAKE CASES",24,"12-01-2010 09:37",0.55,13090,"United Kingdom",NULL,NULL
536555,84519,"TOMATO CHARLIE+LOLA COASTER SET",6,"12-01-2010 09:37",2.95,15694,"United Kingdom",NULL,NULL
536556,85183,"CHARLIE & LOLA WASTEPAPER BIN FLORA",48,"12-01-2010 09:37",1.25,14741,"United Kingdom",NULL,NULL
536557,85071,"RED CHARLIE+LOLA PERSONAL DOORSIGN",96,"12-01-2010 09:37",0.38,13715,"United Kingdom",NULL,NULL
536558,21931,"JUMBO STORAGE BAG SUKI",10,"12-01-2010 09:37",1.95,14092,"United Kingdom",NULL,NULL
536559,21929,"JUMBO BAG PINK VINTAGE PAISLEY",10,"12-01-2010 09:37",1.95,17732,"United Kingdom",NULL,NULL
536560,22961,"JAM MAKING SET PRINTED",24,"12-01-2010 09:41",1.45,12855,"United Kingdom",NULL,NULL
536561,22139,"RETROSPOT TEA SET CERAMIC 11 PC ",23,"12-01-2010 09:41",4.25,15752,"United Kingdom",NULL,NULL
536562,84854,"GIRLY PINK TOOL SET",5,"12-01-2010 09:41",4.95,17855,"United Kingdom",NULL,NULL
536563,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",10,"12-01-2010 09:41",1.95,14047,"United Kingdom",NULL,NULL
536564,82567,"AIRLINE LOUNGE,METAL SIGN",2,"12-01-2010 09:41",2.1,17925,"United Kingdom",NULL,NULL
536565,21672,"WHITE SPOT RED CERAMIC DRAWER KNOB",6,"12-01-2010 09:41",1.25,13941,"United Kingdom",NULL,NULL
536566,22774,"RED DRAWER KNOB ACRYLIC EDWARDIAN",24,"12-01-2010 09:41",1.25,17017,"United Kingdom",NULL,NULL
536567,22771,"CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",24,"12-01-2010 09:41",1.25,14135,"United Kingdom",NULL,NULL
536568,71270,"PHOTO CLIP LINE",1,"12-01-2010 09:41",1.25,13108,"United Kingdom",NULL,NULL
536569,22262,"FELT EGG COSY CHICKEN",1,"12-01-2010 09:41",0.85,12471,"United Kingdom",NULL,NULL
536570,22637,"PIGGY BANK RETROSPOT ",1,"12-01-2010 09:41",2.55,15601,"United Kingdom",NULL,NULL
536571,21934,"SKULL SHOULDER BAG",10,"12-01-2010 09:41",1.65,13418,"United Kingdom",NULL,NULL
536572,21169,"YOU'RE CONFUSING ME METAL SIGN ",3,"12-01-2010 09:41",1.69,14766,"United Kingdom",NULL,NULL
536573,21166,"COOK WITH WINE METAL SIGN ",1,"12-01-2010 09:41",1.95,15658,"United Kingdom",NULL,NULL
536574,21175,"GIN + TONIC DIET METAL SIGN",2,"12-01-2010 09:41",2.1,14388,"United Kingdom",NULL,NULL
536575,37444,"YELLOW BREAKFAST CUP AND SAUCER",1,"12-01-2010 09:41",2.95,14901,"United Kingdom",NULL,NULL
536576,37444,"PINK BREAKFAST CUP AND SAUCER ",1,"12-01-2010 09:41",2.95,18041,"United Kingdom",NULL,NULL
536577,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",4,"12-01-2010 09:41",2.95,15955,"United Kingdom",NULL,NULL
536578,22083,"PAPER CHAIN KIT RETROSPOT",1,"12-01-2010 09:41",2.95,15070,"United Kingdom",NULL,NULL
536579,84971,"SMALL HEART FLOWERS HOOK ",6,"12-01-2010 09:41",0.85,16244,"United Kingdom",NULL,NULL
536580,71270,"PHOTO CLIP LINE",3,"12-01-2010 09:41",1.25,15111,"United Kingdom",NULL,NULL
536581,47580,"TEA TIME DES TEA COSY",2,"12-01-2010 09:41",2.55,14390,"United Kingdom",NULL,NULL
536582,22261,"FELT EGG COSY WHITE RABBIT ",1,"12-01-2010 09:41",0.85,16546,"United Kingdom",NULL,NULL
536583,84832,"ZINC WILLIE WINKIE  CANDLE STICK",1,"12-01-2010 09:41",0.85,15260,"United Kingdom",NULL,NULL
536584,22644,"CERAMIC CHERRY CAKE MONEY BANK",1,"12-01-2010 09:41",1.45,13305,"United Kingdom",NULL,NULL
536585,21533,"RETROSPOT LARGE MILK JUG",1,"12-01-2010 09:41",4.95,14491,"United Kingdom",NULL,NULL
536586,21557,"SET OF 6 FUNKY BEAKERS",2,"12-01-2010 09:41",2.95,14060,"United Kingdom",NULL,NULL
536587,15056,"EDWARDIAN PARASOL BLACK",2,"12-01-2010 09:41",5.95,15923,"United Kingdom",NULL,NULL
536588,15056,"EDWARDIAN PARASOL NATURAL",2,"12-01-2010 09:41",5.95,16752,"United Kingdom",NULL,NULL
536589,22646,"CERAMIC STRAWBERRY CAKE MONEY BANK",4,"12-01-2010 09:41",1.45,17287,"United Kingdom",NULL,NULL
536590,22176,"BLUE OWL SOFT TOY",1,"12-01-2010 09:41",2.95,15363,"United Kingdom",NULL,NULL
536591,22438,"BALLOON ART MAKE YOUR OWN FLOWERS",1,"12-01-2010 09:41",1.95,12915,"United Kingdom",NULL,NULL
536592,21731,"RED TOADSTOOL LED NIGHT LIGHT",2,"12-01-2010 09:41",1.65,15544,"United Kingdom",NULL,NULL
536593,22778,"GLASS CLOCHE SMALL",3,"12-01-2010 09:41",3.95,15738,"United Kingdom",NULL,NULL
536594,22719,"GUMBALL MONOCHROME COAT RACK",36,"12-01-2010 09:41",1.06,16042,"United Kingdom",NULL,NULL
536595,21523,"DOORMAT FANCY FONT HOME SWEET HOME",10,"12-01-2010 09:41",6.75,17381,"United Kingdom",NULL,NULL
536596,10002,"INFLATABLE POLITICAL GLOBE ",12,"12-01-2010 09:45",0.85,15827,"United Kingdom",NULL,NULL
536597,21912,"VINTAGE SNAKES & LADDERS",8,"12-01-2010 09:45",3.75,14180,"United Kingdom",NULL,NULL
536598,21832,"CHOCOLATE CALCULATOR",12,"12-01-2010 09:45",1.65,13117,"United Kingdom",NULL,NULL
536599,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",10,"12-01-2010 09:45",1.95,16916,"United Kingdom",NULL,NULL
536600,22379,"RECYCLING BAG RETROSPOT ",10,"12-01-2010 09:45",2.1,17964,"United Kingdom",NULL,NULL
536601,22381,"TOY TIDY PINK POLKADOT",50,"12-01-2010 09:45",1.85,14466,"United Kingdom",NULL,NULL
536602,22798,"ANTIQUE GLASS DRESSING TABLE POT",8,"12-01-2010 09:45",2.95,17235,"United Kingdom",NULL,NULL
536603,22726,"ALARM CLOCK BAKELIKE GREEN",4,"12-01-2010 09:45",3.75,16510,"United Kingdom",NULL,NULL
536604,22926,"IVORY GIANT GARDEN THERMOMETER",12,"12-01-2010 09:45",5.95,17802,"United Kingdom",NULL,NULL
536605,22839,"3 TIER CAKE TIN GREEN AND CREAM",2,"12-01-2010 09:45",14.95,15107,"United Kingdom",NULL,NULL
536606,22838,"3 TIER CAKE TIN RED AND CREAM",2,"12-01-2010 09:45",14.95,17976,"United Kingdom",NULL,NULL
536607,22783,"SET 3 WICKER OVAL BASKETS W LIDS",4,"12-01-2010 09:45",16.95,14449,"United Kingdom",NULL,NULL
536608,35004,"SET OF 3 COLOURED  FLYING DUCKS",-1,"12-01-2010 09:49",4.65,15838,"United Kingdom",NULL,NULL
536609,82484,"WOOD BLACK BOARD ANT WHITE FINISH",3,"12-01-2010 09:53",6.45,16781,"United Kingdom",NULL,NULL
536610,84755,"COLOUR GLASS T-LIGHT HOLDER HANGING",48,"12-01-2010 09:53",0.65,17547,"United Kingdom",NULL,NULL
536611,22464,"HANGING METAL HEART LANTERN",12,"12-01-2010 09:53",1.65,13491,"United Kingdom",NULL,NULL
536612,21324,"HANGING MEDINA LANTERN SMALL",6,"12-01-2010 09:53",2.95,16186,"United Kingdom",NULL,NULL
536613,22457,"NATURAL SLATE HEART CHALKBOARD ",12,"12-01-2010 09:53",2.95,17685,"United Kingdom",NULL,NULL
536614,22469,"HEART OF WICKER SMALL",40,"12-01-2010 09:53",1.45,17581,"United Kingdom",NULL,NULL
536615,22470,"HEART OF WICKER LARGE",40,"12-01-2010 09:53",2.55,15732,"United Kingdom",NULL,NULL
536616,22224,"WHITE LOVEBIRD LANTERN",6,"12-01-2010 09:53",2.95,13138,"United Kingdom",NULL,NULL
536617,21340,"CLASSIC METAL BIRDCAGE PLANT HOLDER",2,"12-01-2010 09:53",12.75,15823,"United Kingdom",NULL,NULL
536618,22189,"CREAM HEART CARD HOLDER",4,"12-01-2010 09:53",3.95,17567,"United Kingdom",NULL,NULL
536619,22427,"ENAMEL FLOWER JUG CREAM",3,"12-01-2010 09:53",5.95,15061,"United Kingdom",NULL,NULL
536620,22428,"ENAMEL FIRE BUCKET CREAM",6,"12-01-2010 09:53",6.95,16203,"United Kingdom",NULL,NULL
536621,22424,"ENAMEL BREAD BIN CREAM",8,"12-01-2010 09:53",10.95,15640,"United Kingdom",NULL,NULL
536622,22783,"SET 3 WICKER OVAL BASKETS W LIDS",1,"12-01-2010 09:56",19.95,15574,"United Kingdom",NULL,NULL
536623,22961,"JAM MAKING SET PRINTED",12,"12-01-2010 09:56",1.45,16770,"United Kingdom",NULL,NULL
536624,22960,"JAM MAKING SET WITH JARS",6,"12-01-2010 09:56",4.25,17838,"United Kingdom",NULL,NULL
536625,22663,"JUMBO BAG DOLLY GIRL DESIGN",10,"12-01-2010 09:56",1.95,17228,"United Kingdom",NULL,NULL
536626,85049,"TRADITIONAL CHRISTMAS RIBBONS",12,"12-01-2010 09:56",1.25,14829,"United Kingdom",NULL,NULL
536627,22168,"ORGANISER WOOD ANTIQUE WHITE ",2,"12-01-2010 09:56",8.5,17412,"United Kingdom",NULL,NULL
536628,22662,"LUNCH BAG DOLLY GIRL DESIGN",10,"12-01-2010 09:56",1.65,14031,"United Kingdom",NULL,NULL
536629,84880,"WHITE WIRE EGG HOLDER",36,"12-01-2010 09:57",4.95,14775,"United Kingdom",NULL,NULL
536630,85099,"JUMBO  BAG BAROQUE BLACK WHITE",100,"12-01-2010 09:57",1.65,12971,"United Kingdom",NULL,NULL
536631,85099,"JUMBO BAG RED RETROSPOT",100,"12-01-2010 09:57",1.65,15834,"United Kingdom",NULL,NULL
536632,79321,"CHILLI LIGHTS",192,"12-01-2010 09:58",3.82,17659,"United Kingdom",NULL,NULL
536633,22780,"LIGHT GARLAND BUTTERFILES PINK",192,"12-01-2010 09:58",3.37,15299,"United Kingdom",NULL,NULL
536634,22779,"WOODEN OWLS LIGHT GARLAND ",192,"12-01-2010 09:58",3.37,15646,"United Kingdom",NULL,NULL
536635,22466,"FAIRY TALE COTTAGE NIGHTLIGHT",432,"12-01-2010 09:58",1.45,13958,"United Kingdom",NULL,NULL
536636,21731,"RED TOADSTOOL LED NIGHT LIGHT",432,"12-01-2010 09:58",1.25,14443,"United Kingdom",NULL,NULL
536637,21754,"HOME BUILDING BLOCK WORD",3,"12-01-2010 09:59",5.95,14156,"United Kingdom",NULL,NULL
536638,21755,"LOVE BUILDING BLOCK WORD",3,"12-01-2010 09:59",5.95,16995,"United Kingdom",NULL,NULL
536639,21523,"DOORMAT FANCY FONT HOME SWEET HOME",2,"12-01-2010 09:59",7.95,13402,"United Kingdom",NULL,NULL
536640,21363,"HOME SMALL WOOD LETTERS",3,"12-01-2010 09:59",4.95,18168,"United Kingdom",NULL,NULL
536641,21411,"GINGHAM HEART  DOORSTOP RED",3,"12-01-2010 09:59",4.25,17757,"United Kingdom",NULL,NULL
536642,22318,"FIVE HEART HANGING DECORATION",6,"12-01-2010 09:59",2.95,14625,"United Kingdom",NULL,NULL
536643,22464,"HANGING METAL HEART LANTERN",12,"12-01-2010 09:59",1.65,13011,"United Kingdom",NULL,NULL
536663,22915,"ASSORTED BOTTLE TOP  MAGNETS ",12,"12-01-2010 09:59",0.42,13798,"United Kingdom",NULL,NULL
536667,22922,"FRIDGE MAGNETS US DINER ASSORTED",12,"12-01-2010 09:59",0.85,15384,"United Kingdom",NULL,NULL
536670,22969,"HOMEMADE JAM SCENTED CANDLES",12,"12-01-2010 09:59",1.45,14264,"United Kingdom",NULL,NULL
536671,22923,"FRIDGE MAGNETS LES ENFANTS ASSORTED",12,"12-01-2010 09:59",0.85,13295,"United Kingdom",NULL,NULL
536672,21115,"ROSE CARAVAN DOORSTOP",4,"12-01-2010 09:59",6.75,16754,"United Kingdom",NULL,NULL
536673,22469,"HEART OF WICKER SMALL",12,"12-01-2010 09:59",1.65,16634,"United Kingdom",NULL,NULL
536674,22242,"5 HOOK HANGER MAGIC TOADSTOOL",12,"12-01-2010 09:59",1.65,18239,"United Kingdom",NULL,NULL
536676,22941,"CHRISTMAS LIGHTS 10 REINDEER",6,"12-01-2010 10:03",8.5,14576,Australia,NULL,NULL
536681,21622,"VINTAGE UNION JACK CUSHION COVER",8,"12-01-2010 10:03",4.95,13145,Australia,NULL,NULL
536685,21791,"VINTAGE HEADS AND TAILS CARD GAME ",12,"12-01-2010 10:03",1.25,14395,Australia,NULL,NULL
536688,35004,"SET OF 3 COLOURED  FLYING DUCKS",6,"12-01-2010 10:03",5.45,14865,Australia,NULL,NULL
536690,35004,"SET OF 3 GOLD FLYING DUCKS",4,"12-01-2010 10:03",6.35,15093,Australia,NULL,NULL
536693,85014,"RED RETROSPOT UMBRELLA",6,"12-01-2010 10:03",5.95,12738,Australia,NULL,NULL
536698,85014,"BLACK/BLUE POLKADOT UMBRELLA",3,"12-01-2010 10:03",5.95,16150,Australia,NULL,NULL
536707,22193,"RED DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,17552,Australia,NULL,NULL
536732,22726,"ALARM CLOCK BAKELIKE GREEN",4,"12-01-2010 10:03",3.75,14236,Australia,NULL,NULL
536733,22727,"ALARM CLOCK BAKELIKE RED ",4,"12-01-2010 10:03",3.75,17961,Australia,NULL,NULL
536734,22192,"BLUE DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,14573,Australia,NULL,NULL
536735,22191,"IVORY DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,17135,Australia,NULL,NULL
536736,22195,"LARGE HEART MEASURING SPOONS",24,"12-01-2010 10:03",1.65,17396,Australia,NULL,NULL
536737,22196,"SMALL HEART MEASURING SPOONS",24,"12-01-2010 10:03",0.85,14213,Australia,NULL,NULL
536738,22941,"CHRISTMAS LIGHTS 10 REINDEER",2,"12-01-2010 10:19",8.5,12967,"United Kingdom",NULL,NULL
536739,22960,"JAM MAKING SET WITH JARS",12,"12-01-2010 10:19",3.75,12686,"United Kingdom",NULL,NULL
536740,22961,"JAM MAKING SET PRINTED",12,"12-01-2010 10:19",1.45,14679,"United Kingdom",NULL,NULL
536741,22962,"JAM JAR WITH PINK LID",48,"12-01-2010 10:19",0.72,15240,"United Kingdom",NULL,NULL
536742,22963,"JAM JAR WITH GREEN LID",48,"12-01-2010 10:19",0.72,18225,"United Kingdom",NULL,NULL
536743,22968,"ROSE COTTAGE KEEPSAKE BOX ",8,"12-01-2010 10:19",8.5,13370,"United Kingdom",NULL,NULL
536744,84970,"HANGING HEART ZINC T-LIGHT HOLDER",144,"12-01-2010 10:19",0.64,16883,"United Kingdom",NULL,NULL
536745,22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,"12-01-2010 10:19",2.55,13520,"United Kingdom",NULL,NULL
536746,20668,"DISCO BALL CHRISTMAS DECORATION",288,"12-01-2010 10:19",0.1,12841,"United Kingdom",NULL,NULL
536747,85123,"WHITE HANGING HEART T-LIGHT HOLDER",64,"12-01-2010 10:19",2.55,16905,"United Kingdom",NULL,NULL
536748,22197,"SMALL POPCORN HOLDER",100,"12-01-2010 10:19",0.72,12427,"United Kingdom",NULL,NULL
536749,22198,"LARGE POPCORN HOLDER ",50,"12-01-2010 10:19",1.45,17967,"United Kingdom",NULL,NULL
536750,21533,"RETROSPOT LARGE MILK JUG",12,"12-01-2010 10:19",4.25,16891,"United Kingdom",NULL,NULL
536751,21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",96,"12-01-2010 10:19",0.64,14589,"United Kingdom",NULL,NULL
536752,21094,"SET/6 RED SPOTTY PAPER PLATES",96,"12-01-2010 10:19",0.64,14680,"United Kingdom",NULL,NULL
536753,21086,"SET/6 RED SPOTTY PAPER CUPS",48,"12-01-2010 10:19",0.65,17884,"United Kingdom",NULL,NULL
536754,21786,"POLKADOT RAIN HAT ",144,"12-01-2010 10:19",0.32,12557,"United Kingdom",NULL,NULL
536755,22654,"DELUXE SEWING KIT ",40,"12-01-2010 10:19",4.95,14083,"United Kingdom",NULL,NULL
536756,21485,"RETROSPOT HEART HOT WATER BOTTLE",24,"12-01-2010 10:19",4.25,13013,"United Kingdom",NULL,NULL
536757,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",24,"12-01-2010 10:19",3.39,14210,"United Kingdom",NULL,NULL
536758,84030,"ENGLISH ROSE HOT WATER BOTTLE",24,"12-01-2010 10:19",3.75,16477,"United Kingdom",NULL,NULL
536759,22174,"PHOTO CUBE",48,"12-01-2010 10:19",1.48,12600,"United Kingdom",NULL,NULL
536760,22969,"HOMEMADE JAM SCENTED CANDLES",96,"12-01-2010 10:19",1.25,16013,"United Kingdom",NULL,NULL
536761,85099,"JUMBO BAG RED RETROSPOT",100,"12-01-2010 10:19",1.65,17949,"United Kingdom",NULL,NULL
536762,22556,"PLASTERS IN TIN CIRCUS PARADE ",-12,"12-01-2010 10:24",1.65,12779,"United Kingdom",NULL,NULL
